iter	Passed	Remaining
490	609	632
491	610	630
492	611	629
493	613	627
494	613	626
495	614	624
496	615	623
497	616	621
498	617	620
499	618	618
500	619	616
501	620	615
502	621	613
503	621	612
504	622	610
505	623	608
506	624	606
507	625	605
508	625	603
509	626	602
510	627	600
511	628	598
512	631	599
513	637	603
514	645	608
515	647	607
516	648	605
517	650	604
518	651	603
519	653	602
520	654	601
521	655	600
522	657	599
523	658	598
524	660	597
525	661	596
526	662	594
527	664	593
528	665	592
529	667	591
530	668	590
531	669	589
532	671	588
533	672	587
534	674	586
535	675	584
536	676	583
537	677	582
538	679	580
539	680	579
540	682	578
541	683	577
542	684	576
543	686	575
544	687	574
545	689	572
546	690	571
547	691	570
548	693	569
549	694	568
550	695	567
551	696	565
552	697	564
553	698	562
554	699	561
555	700	559
556	701	558
557	703	556
558	703	555
559	704	553
560	705	552
561	706	550
562	707	549
563	708	547
564	709	546
565	710	544
566	716	547
567	723	550
568	728	551
569	729	550
570	731	549
571	733	548
572	734	547
573	736	546
574	737	545
575	738	543
576	740	542
577	742	541
578	743	540
579	745	539
580	746	538
581	747	537
582	749	536
583	750	534
584	752	533
585	753	532
586	754	531
587	756	530
588	757	528
589	760	528
590	761	526
591	762	525
592	764	524
593	765	523
594	767	522
595	769	521
596	770	520
597	772	518
598	773	517
599	774	516
600	776	515
601	777	513
602	778	512
603	779	510
604	780	509
605	781	508
606	782	506
607	783	504
608	784	503
609	785	502
610	786	500
611	787	499
612	787	497
613	788	495
614	789	494
615	790	492
616	790	490
617	791	489
618	792	487
619	797	488
620	805	491
621	810	492
622	812	491
623	813	490
624	814	488
625	815	487
626	816	485
627	817	484
628	818	482
629	819	481
630	820	479
631	821	478
632	822	476
633	823	475
634	824	474
635	825	472
636	826	470
637	827	469
638	828	467
639	829	466
640	830	464
641	831	463
642	832	462
643	833	460
644	834	459
645	835	457
646	835	456
647	837	454
648	838	453
649	839	451
650	840	450
651	841	448
652	842	447
653	842	445
654	843	444
655	844	443
656	846	441
657	847	440
658	847	438
659	848	437
660	849	435
661	850	434
662	851	433
663	853	431
664	854	430
665	855	428
666	856	427
667	856	425
668	857	424
669	858	422
670	860	421
671	861	420
672	861	418
673	862	417
674	863	415
675	864	414
676	865	412
677	866	411
678	867	410
679	872	410
680	881	412
681	885	412
682	887	411
683	888	410
684	890	409
685	891	408
686	893	407
687	894	405
688	896	404
689	897	403
690	899	402
691	900	400
692	901	399
693	902	398
694	904	397
695	906	395
696	907	394
697	909	393
698	910	391
699	911	390
700	913	389
701	914	388
702	916	387
703	917	385
704	919	384
705	920	383
706	921	382
707	923	380
708	924	379
709	925	378
710	926	376
711	931	376
712	932	375
713	936	375
714	937	373
715	939	372
716	940	371
717	941	369
718	944	369
719	954	371
720	960	371
721	962	370
722	963	369
723	965	368
724	966	366
725	968	365
726	969	363
727	970	362
728	972	361
729	973	360
730	974	358
731	976	357
732	977	355
733	978	354
734	979	353
735	980	351
736	981	350
737	982	348
738	983	347
739	984	345
740	985	344
741	986	342
742	987	341
743	988	340
744	989	338
745	990	337
746	991	335
747	992	334
748	994	333
749	995	331
750	996	330
751	997	328
752	998	327
753	999	326
754	1002	325
755	1003	323
756	1004	322
757	1005	321
758	1006	319
759	1007	318
760	1008	316
761	1009	315
762	1012	314
763	1019	314
764	1027	315
765	1028	314
766	1029	312
767	1029	311
768	1030	309
769	1031	308
770	1032	306
771	1032	305
772	1033	303
773	1034	302
774	1035	300
775	1036	299
776	1036	297
777	1037	296
778	1038	294
779	1039	293
780	1040	291
781	1041	290
782	1042	289
783	1043	287
784	1044	286
785	1045	284
786	1047	283
787	1048	282
788	1049	280
789	1050	279
790	1051	277
791	1052	276
792	1053	274
793	1054	273
794	1055	272
795	1056	270
796	1057	269
797	1058	267
798	1059	266
799	1060	265
800	1061	263
801	1062	262
802	1063	260
803	1064	259
804	1065	258
805	1066	256
806	1067	255
807	1068	253
808	1069	252
809	1070	251
810	1071	249
811	1072	248
812	1073	246
813	1074	245
814	1075	244
815	1076	242
816	1077	241
817	1078	240
818	1080	238
819	1081	237
820	1082	236
821	1083	234
822	1084	233
823	1086	232
824	1087	230
825	1088	229
826	1089	227
827	1091	226
828	1092	225
829	1093	224
830	1095	222
831	1096	221
832	1097	219
833	1098	218
834	1099	217
835	1100	215
836	1101	214
837	1102	213
838	1103	211
839	1104	210
840	1105	209
841	1106	207
842	1108	206
843	1115	206
844	1124	206
845	1125	204
846	1127	203
847	1128	202
848	1130	201
849	1132	199
850	1133	198
851	1134	197
852	1136	195
853	1137	194
854	1138	193
855	1140	191
856	1141	190
857	1143	189
858	1145	187
859	1146	186
860	1147	185
861	1149	184
862	1151	182
863	1152	181
864	1154	180
865	1155	178
866	1157	177
867	1158	176
868	1160	174
869	1162	173
870	1163	172
871	1165	171
872	1166	169
873	1168	168
874	1169	167
875	1171	165
876	1172	164
877	1176	163
878	1177	162
879	1178	160
880	1179	159
881	1180	157
882	1181	156
883	1182	155
884	1183	153
885	1184	152
886	1184	150
887	1185	149
888	1186	148
889	1190	147
890	1198	146
891	1205	145
892	1206	144
893	1207	143
894	1208	141
895	1209	140
896	1211	139
897	1212	137
898	1212	136
899	1213	134
900	1214	133
901	1216	132
902	1217	130
903	1218	129
904	1219	128
905	1220	126
906	1221	125
907	1222	123
908	1223	122
909	1224	121
910	1225	119
911	1226	118
912	1227	116
913	1228	115
914	1229	114
915	1230	112
916	1231	111
917	1232	110
918	1233	108
919	1234	107
920	1235	105
921	1236	104
922	1237	103
923	1238	101
924	1240	100
925	1241	99
926	1242	97
927	1243	96
928	1243	95
929	1244	93
930	1246	92
931	1247	91
932	1248	89
933	1249	88
934	1249	86
935	1250	85
936	1251	84
937	1252	82
938	1253	81
939	1254	80
940	1258	78
941	1266	77
942	1271	76
943	1272	75
944	1274	74
945	1275	72
946	1277	71
947	1278	70
948	1279	68
949	1280	67
950	1281	66
951	1282	64
952	1283	63
953	1284	61
954	1285	60
955	1286	59
956	1287	57
957	1288	56
958	1289	55
959	1290	53
960	1291	52
961	1292	51
962	1293	49
963	1294	48
964	1295	46
965	1296	45
966	1297	44
967	1298	42
968	1299	41
969	1300	40
970	1301	38
971	1302	37
972	1303	36
973	1304	34
974	1305	33
975	1307	32
976	1308	30
977	1309	29
978	1309	28
979	1310	26
980	1311	25
981	1312	24
982	1313	22
983	1314	21
984	1315	20
985	1316	18
986	1317	17
987	1318	16
988	1318	14
989	1319	13
990	1320	11
991	1321	10
992	1322	9
993	1327	8
994	1333	6
995	1340	5
996	1341	4
997	1342	2
998	1343	1
999	1344	0
